id	title	name	publication_date	body	new_title
470129	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Yeah, let's talk about math. Let's talk about math. Let's talk about the fact that the pharmaceutical companies and the insurance companies last year alone profited $72 billion, and that is on the backs of American families, and under your plan status quo, you do nothing to hold the insurance companies to task for what they have been doing to American families. In American today, a diabetes patient, one in four cannot afford their insulin. In America today--	Democratic Presidential Debate - July 31 | CNN
470130	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--for those people who have overdosed from an opioid there is a syringe that costs $4,000--	Democratic Presidential Debate - July 31 | CNN
470131	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--that will save their life. It is immoral. It is untenable--	Democratic Presidential Debate - July 31 | CNN
470132	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--and it must change with Medicare For All.	Democratic Presidential Debate - July 31 | CNN
470133	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	Real quick I have the only plan that limits the ability of insurance companies to charge unreasonable prices, flat out, number one. Number two we should put some of these insurance executives who totally opposed my plan in jail for this 9 billion opioids they sell out there. They are misrepresenting to the American people what need to be done. And lastly, here's the deal, the deal is let's figure out how this works. We eat immediately are able to cover everybody who wants to get off their insurance plan, they don't like no matter what one it is and by into a Medicare option. They can buy the goal plan; they are not going to have to pay anyway.	Democratic Presidential Debate - July 31 | CNN
470134	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	Thank you for that question. You know if you elect me president you are not electing me to follow, you are electing me to lead, and open borders is a right-wing talking point, and frankly, I am disappointed that some folks including some folks on this stage have taken the bait. The only way that we are going to guarantee that we don't have family separations in this country again is to repeal Section 1325 of the Immigration and Nationality Act.	Democratic Presidential Debate - July 31 | CNN
470135	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	That is the law that this president, this administration is using to incarcerate migrant parents and then physically separate them from their children. My immigration plan would also make sure that we put undocumented immigrants who having committed a serious crime on a pathway to citizenship, that we do a 21st century Marshall plan with Honduras, El Salvador, and Guatemala so that we can get to the root of this challenge so people can find safety and opportunity at home instead of having to come to the United States.	Democratic Presidential Debate - July 31 | CNN
470136	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	That is how we can be smarter, more effective, and more humane when it comes to immigration policy.	Democratic Presidential Debate - July 31 | CNN
470137	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Well again with all due respect after the last debate for example I went to a place in Florida called Homestead and there is a private detention facility being paid for by your taxpayer dollars, a private detention facility that currently houses 2700 children and by the way there were members of us Julian was there, members of Congress, they would not let us enter the place, members of the United States Congress.	Democratic Presidential Debate - July 31 | CNN
470138	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	So I walked down the road, I climbed a ladder, and I looked over the fence, and I'm going to tell you what I saw. I saw children lined up single file based on gender being walked into barracks. The policies of this administration have been facilitated by laws on the books--	Democratic Presidential Debate - July 31 | CNN
470139	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--that allow them to be incarcerated as though they have committed crimes.	Democratic Presidential Debate - July 31 | CNN
470140	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	These children have not committed crimes--	Democratic Presidential Debate - July 31 | CNN
470141	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--and should not be treated like criminals.	Democratic Presidential Debate - July 31 | CNN
470142	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	With all due respect to my friend Michael Bennet (INAUDIBLE)	Democratic Presidential Debate - July 31 | CNN
470143	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	Absolutely not, number one. Number two, everything landed on the president's desk but locust. I found that Julian (PH)--excuse me. The secretary, we sat together in many meetings. I never heard him talk about any of this when he was the secretary.	Democratic Presidential Debate - July 31 | CNN
470144	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	--The fact is--	Democratic Presidential Debate - July 31 | CNN
