id	title	name	publication_date	body	new_title
737349	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	As the author of the Medicare bill let me clear up one thing--as people talk about having insurance there are millions of people who have insurance they can't go to the doctor and when they come out of the hospital they go bankrupt, all right?	Democratic Presidential Debate - July 30 | CNN
737350	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	What I am talking about and others up here are talking about is no deductibles and no copayments. And Jake, your question is a republican talking point. At the end of the day and by the way--	Democratic Presidential Debate - July 30 | CNN
737351	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	And by the way, by the way the healthcare industry will be advertising tonight on this program.	Democratic Presidential Debate - July 30 | CNN
737352	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Oh, can I complete that please?	Democratic Presidential Debate - July 30 | CNN
737353	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	They are advertising tonight with that talking point.	Democratic Presidential Debate - July 30 | CNN
737354	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	We need to think of this in terms of the big frame. What's the problem in Washington? It works great for the wealthy. It works great for those who can hire armies of lobbyists and lawyers. And it keeps working great for the insurance companies and the drug companies. What it's going to take is real courage to fight back against them. These insurance companies do not have a god given right to make $23 billion in profits and suck it out of our healthcare system.	Democratic Presidential Debate - July 30 | CNN
737355	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	They do not have a god given right--	Democratic Presidential Debate - July 30 | CNN
737356	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--(INAUDIBLE)	Democratic Presidential Debate - July 30 | CNN
737357	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	It's not a business.	Democratic Presidential Debate - July 30 | CNN
737358	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	John Hickenlooper	2019-07-30	Well obviously, I disagree with that, as much as I respect both of the senators to my right. You know, I think it comes down to that question of Americans being used to being able to make choices, to have the right to make a decision. And I think proposing a public option that allows some form of Medicare but maybe as accommodation of--of Medicare Advantage and Medicare, but people choose it and if enough people choose it, it--it expands, the quality improves, the cost comes down, or people choose it. Eventually, in 15 years, you could get there, but it would be an evolution, not a revolution.	Democratic Presidential Debate - July 30 | CNN
737359	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	You know--	Democratic Presidential Debate - July 30 | CNN
737360	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--We have tried this experiment with the insurance companies and what they've done is they've sucked billions of dollars out of our healthcare system and they force people to have to fight to try to get the healthcare coverage that their doctors and nurses say that they need. Why does everybody--why does every doctor, why does every hospital have to fill out so many collocated forms? It's because it gives insurance companies a chance to say no and to push that cost back on the patients.	Democratic Presidential Debate - July 30 | CNN
737361	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	That's what we have to fight.	Democratic Presidential Debate - July 30 | CNN
737362	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	It is time to stop worrying about what the Republicans will say. Look, if--	Democratic Presidential Debate - July 30 | CNN
737363	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	--If--it's true that if we embrace a far-left agenda, they are going to say we are a bunch of crazy socialists. If we embrace a conservative agenda, you know what we are--they're going to do? They're going to say we are a bunch of crazy socialist. So let's just stand up for the right policy--	Democratic Presidential Debate - July 30 | CNN
737364	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	Go out there and defend it. That's a policy I'm putting forward, not because I think is the right triangulation between Republicans here and to progress there, because I think it's the right answer for people like my mother-in-law who is here whose life was saved by the ACA but who is still far too vulnerable to the fact of the insurance industry--	Democratic Presidential Debate - July 30 | CNN
737365	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	--Does not care about her.	Democratic Presidential Debate - July 30 | CNN
737366	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Jake.	Democratic Presidential Debate - July 30 | CNN
737367	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Let's be clear what this debate is about. Nobody can defend the dysfunctionality of the current system. What we are taking at--on is the fact that over the last 20 years the drug companies and the insurance companies have spent $4.5 billion dollars of your health insurance money on lobbying and campaign contributions. That is why when I went to Canada the other day people paid a 10th the price in Canada for insulin--	Democratic Presidential Debate - July 30 | CNN
737368	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--That they are paying in the United States.	Democratic Presidential Debate - July 30 | CNN
737369	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Well, two things. They will be better because Medicare for all is comprehensive and covers all health care needs for senior citizens. It will finally include dental care, hearing aids, and eyeglasses.	Democratic Presidential Debate - July 30 | CNN
737370	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--Second of all--	Democratic Presidential Debate - July 30 | CNN
737371	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--Second of all--	Democratic Presidential Debate - July 30 | CNN
737372	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--I do know, and I wrote the damn bill.	Democratic Presidential Debate - July 30 | CNN
737373	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	And second of all--second of all, many of our union brothers and sisters, nobody more pro-union than me up here, are now paying high deductibles in copayments. And when we do Medicare for All, instead of having the company putting money on-	Democratic Presidential Debate - July 30 | CNN
737374	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	healthcare they can get decent wage increases which they are not getting today.	Democratic Presidential Debate - July 30 | CNN
737375	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Under Medicare for all the hospitals will save substantial sums of money because they are not going to be spending a fortune doing billing and the other bureaucratic things that they have to do today.	Democratic Presidential Debate - July 30 | CNN
737376	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Second of all--	Democratic Presidential Debate - July 30 | CNN
737377	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Maybe you did that and made money off of healthcare but our job is to run a nonprofit health care system.	Democratic Presidential Debate - July 30 | CNN
737378	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Furthermore--furthermore, when we save $500 billion a year by ending all of the incredible complexities that are driving--	Democratic Presidential Debate - July 30 | CNN
737379	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--every American crazy, trying to deal with the health insurance company--	Democratic Presidential Debate - July 30 | CNN
737380	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Hospitals will be better off than they are today.	Democratic Presidential Debate - July 30 | CNN
737381	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	When I am president illegally crossing the border will still be a legal. We can argue over the finer points of which parts of this ought to be handled by civil law and which parts ought to be handled by criminal law but we've got a crisis on our hands and it's not just a crisis of immigration, it's a crisis of cruelty and incompetence that has created a humanitarian disaster on our southern border. It is the stain on the United States of America.	Democratic Presidential Debate - July 30 | CNN
737382	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	Americans want comprehensive immigration reform and frankly we have been talking about the same framework for my entire adult lifetime. Protections for dreamers, making sure that we have a pathway to citizenship for the undocumented, cleaning up lawful immigration. We know what to do. We know the border security can be part of that package and we can still be a nation of laws.	Democratic Presidential Debate - July 30 | CNN
737383	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	The problem is we haven't had the will to get it done in Washington and now we have a president who could fix it in a month because there is that bipartisan agreement but he needs it to be a crisis rather than an achievement. That will end on my watch.	Democratic Presidential Debate - July 30 | CNN
